"Player","Cmp%"
"Jeroen Zoet","74.5"
"Guglielmo Vicario","66.4"
"Samir Ujkani","82.1"
"Pietro Terracciano","55.2"
"Ciprian TÄƒtÄƒruÈ™anu","88.9"
"Wojciech SzczÄ™sny","89.7"
"Thomas Strakosha","83.4"
"Marco Sportiello","83.7"
"Åukasz Skorupski","77.5"
"Salvatore Sirigu","70.0"
"Marco Silvestri","44.6"
"Luigi Sepe","78.4"
"Simone Scuffet","71.4"
"Pepe Reina","81.6"
"Federico Ravaglia","84.1"
"Rafael","70.8"
"IonuÈ› Radu","96.4"
"Ivan Provedel","74.1"
"Carlo Pinsoglio","90.9"
"Mattia Perin","65.0"
"Gianluca Pegolo","95.2"
"Ivor Pandur","50.5"
"Alberto Paleari","64.1"
"Daniele Padelli","100.0"
"David Ospina","82.0"
"Juan Musso","75.1"
"Lorenzo MontipÃ²","63.6"
"Antonio Mirante","78.2"
"Vanja MilinkoviÄ‡-SaviÄ‡","67.6"
"Alex Meret","88.8"
"Federico Marchetti","82.4"
"NiccolÃ² Manfredini","80.6"
"Pau LÃ³pez","80.1"
"Karlo Letica","91.2"
"Samir HandanoviÄ‡","86.1"
"Pierluigi Gollini","75.4"
"Manuel Gasparini","100.0"
"Daniel Fuzato","73.9"
"Marco Festa","81.6"
"BartÅ‚omiej DrÄ…gowski","65.5"
"Gianluigi Donnarumma","78.5"
"Gian Crespi","85.7"
"Alessio Cragno","69.0"
"Angelo da Costa JÃºnior","86.8"
"Alex Cordaz","72.1"
"Andrea Consigli","81.3"
"Simone Colombi","70.0"
"Gianluigi Buffon","84.9"
"Alessandro Berardi","36.4"
"Emil Audero","69.6"
"NÃ­colas Andrade","82.5"
